Title,Abstract,Journal,Processed_Abstract
Childhood Trauma and Epigenetics: State of the Science and Future.,"There is a great deal of interest regarding the biological embedding of childhood trauma and social exposures through epigenetic mechanisms, including DNA methylation (DNAm), but a comprehensive understanding has been hindered by issues of limited reproducibility between studies. This review presents a summary of the literature on childhood trauma and DNAm, highlights issues in the field, and proposes some potential solutions.",Current environmental health reports,"['great', 'deal', 'interest', 'regard', 'biological', 'embed', 'childhood', 'trauma', 'social', 'exposure', 'epigenetic', 'mechanism', 'include', 'dna', 'methylation', 'dnam', 'comprehensive', 'understanding', 'hinder', 'issue', 'limit', 'reproducibility', 'study', 'review', 'present', 'summary', 'literature', 'childhood', 'trauma', 'dnam', 'highlight', 'issue', 'field', 'propose', 'potential', 'solution']"
Epigenetics of childhood trauma: Long term sequelae and potential for treatment.,"Childhood trauma (CT) can have persistent effects on the brain and is one of the major risk factors for neuropsychiatric diseases in adulthood. Recent advances in the field of epigenetics suggest that epigenetic factors such as DNA methylation and histone modifications, as well as regulatory processes involving non-coding RNA are associated with the long-term sequelae of CT. This narrative review summarizes current knowledge on the epigenetic basis of CT and describes studies in animal models and human subjects examining how the epigenome and transcriptome are modified by CT in the brain. It discusses psychological and pharmacological interventions that can counteract epigenetic changes induced by CT and the need to establish longitudinal assessment after CT for developing more effective diagnostics and treatment strategies based on epigenetic targets.",Neuroscience and biobehavioral reviews,"['childhood', 'trauma', 'ct', 'persistent', 'effect', 'brain', 'one', 'major', 'risk', 'factor', 'neuropsychiatric', 'disease', 'adulthood', 'recent', 'advance', 'field', 'epigenetic', 'suggest', 'epigenetic', 'factor', 'dna', 'methylation', 'histone', 'modification', 'well', 'regulatory', 'process', 'involve', 'non', 'code', 'rna', 'associate', 'long', 'term', 'sequelae', 'ct', 'narrative', 'review', 'summarize', 'current', 'knowledge', 'epigenetic', 'basis', 'ct', 'describe', 'study', 'animal', 'model', 'human', 'subject', 'examine', 'epigenome', 'transcriptome', 'modify', 'ct', 'brain', 'discuss', 'psychological', 'pharmacological', 'intervention', 'counteract', 'epigenetic', 'change', 'induce', 'ct', 'need', 'establish', 'longitudinal', 'assessment', 'ct', 'develop', 'effective', 'diagnostic', 'treatment', 'strategy', 'base', 'epigenetic', 'target']"
The influence of intergenerational trauma on epigenetics and obesity in Indigenous populations - a scoping review.,"<b>Background:</b> Research has recently begun to examine the potential intergenerational impacts of trauma on obesity.<b>Objective:</b> This scoping review examines the literature on the interactions between intergenerational trauma, epigenetics, and obesity in Indigenous populations. The review was conducted to identify what is known from the literature about how intergenerational trauma may epigenetically influence obesity in Indigenous populations.<b>Methods:</b> Following the PRISMA-ScR guidelines for scoping reviews, online databases were used to identify studies that included discussion of the four focus topics: trauma, epigenetics, obesity, and Indigeneity. The review resulted in six studies that examined those themes. The focus and findings of the selected studies varied from cultural to biological mechanisms and from discussion regarding trauma, epigenetics, obesity, or Indigeneity, but they support three broad statements. First, they support that obesity has genetic and epigenetic factors. Second, intergenerational trauma is prevalent in Indigenous communities. Finally, intergenerational trauma has cultural and biological influences on obesity.<b>Conclusions:</b> Current literature illustrates that intergenerational trauma has behavioural and epigenetic influences that can lead to increased obesity. This scoping review provides a preliminary map of the current literature and understandings of these topics. This review calls for continued studies regarding the connection between trauma, obesity, and epigenetics in Indigenous communities. Future research is vital for practice and policy surrounding individual and communal healing.",Epigenetics,"['b', 'background', 'b', 'research', 'recently', 'begin', 'examine', 'potential', 'intergenerational', 'impact', 'trauma', 'obesity', 'b', 'objective', 'b', 'scope', 'review', 'examine', 'literature', 'interaction', 'intergenerational', 'trauma', 'epigenetic', 'obesity', 'indigenous', 'population', 'review', 'conduct', 'identify', 'know', 'literature', 'intergenerational', 'trauma', 'may', 'epigenetically', 'influence', 'obesity', 'indigenous', 'population', 'b', 'method', 'b', 'follow', 'prisma', 'scr', 'guideline', 'scope', 'review', 'online', 'database', 'use', 'identify', 'study', 'include', 'discussion', 'four', 'focus', 'topic', 'trauma', 'epigenetic', 'obesity', 'indigeneity', 'review', 'result', 'six', 'study', 'examine', 'theme', 'focus', 'finding', 'select', 'study', 'varied', 'cultural', 'biological', 'mechanism', 'discussion', 'regard', 'trauma', 'epigenetic', 'obesity', 'indigeneity', 'support', 'three', 'broad', 'statement', 'first', 'support', 'obesity', 'genetic', 'epigenetic', 'factor', 'second', 'intergenerational', 'trauma', 'prevalent', 'indigenous', 'community', 'finally', 'intergenerational', 'trauma', 'cultural', 'biological', 'influence', 'obesity', 'b', 'conclusions', 'b', 'current', 'literature', 'illustrate', 'intergenerational', 'trauma', 'behavioural', 'epigenetic', 'influence', 'lead', 'increase', 'obesity', 'scoping', 'review', 'provide', 'preliminary', 'map', 'current', 'literature', 'understanding', 'topic', 'review', 'call', 'continued', 'study', 'regard', 'connection', 'trauma', 'obesity', 'epigenetic', 'indigenous', 'community', 'future', 'research', 'vital', 'practice', 'policy', 'surround', 'individual', 'communal', 'healing']"
Epigenetic transmission of Holocaust trauma: can nightmares be inherited?,"The Holocaust left its visible and invisible marks not only on the survivors, but also on their children. Instead of numbers tattooed on their forearms, however, they may have been marked epigenetically with a chemical coating upon their chromosomes, which would represent a kind of biological memory of what the parents experienced. as a result, some suffer from a general vulnerability to stress while others are more resilient. Previous research assumed that such transmission was caused by environmental factors, such as the parents' childrearing behavior. New research, however, indicates that these transgenerational effects may have been also (epi) genetically transmitted to their children. Integrating both hereditary and environmental factors, epigenetics adds a new and more comprehensive psychobiological dimension to the explanation of transgenerational transmission of trauma. Specifically, epigenetics may explain why latent transmission becomes manifest under stress. a general theoretical overview of epigenetics and its relevance to research on trauma transmission is presented.",The Israel journal of psychiatry and related sciences,"['holocaust', 'leave', 'visible', 'invisible', 'mark', 'survivor', 'also', 'child', 'instead', 'number', 'tattooed', 'forearm', 'however', 'may', 'mark', 'epigenetically', 'chemical', 'coating', 'upon', 'chromosome', 'would', 'represent', 'kind', 'biological', 'memory', 'parent', 'experience', 'result', 'suffer', 'general', 'vulnerability', 'stress', 'other', 'resilient', 'previous', 'research', 'assume', 'transmission', 'cause', 'environmental', 'factor', 'parent', 'childreare', 'behavior', 'new', 'research', 'however', 'indicate', 'transgenerational', 'effect', 'may', 'also', 'epi', 'genetically', 'transmit', 'child', 'integrate', 'hereditary', 'environmental', 'factor', 'epigenetic', 'add', 'new', 'comprehensive', 'psychobiological', 'dimension', 'explanation', 'transgenerational', 'transmission', 'trauma', 'specifically', 'epigenetic', 'may', 'explain', 'latent', 'transmission', 'become', 'manifest', 'stress', 'general', 'theoretical', 'overview', 'epigenetic', 'relevance', 'research', 'trauma', 'transmission', 'present']"
Refusing epigenetics: indigeneity and the colonial politics of trauma.,"Environmental epigenetics is increasingly employed to understand the health outcomes of communities who have experienced historical trauma and structural violence. Epigenetics provides a way to think about traumatic events and sustained deprivation as biological ""exposures"" that contribute to ill-health across generations. In Australia, some Indigenous researchers and clinicians are embracing epigenetic science as a framework for theorising the slow violence of colonialism as it plays out in intergenerational legacies of trauma and illness. However, there is dispute, contention, and caution as well as enthusiasm among these research communities.In this article, we trace strategies of ""refusal"" (Simpson, 2014) in response to epigenetics in Indigenous contexts. Drawing on ethnographic fieldwork conducted in Australia with researchers and clinicians in Indigenous health, we explore how some construct epigenetics as useless knowledge and a distraction from implementing anti-colonial change, rather than a tool with which to enact change. Secondly, we explore how epigenetics narrows definitions of colonial harm through the optic of molecular trauma, reproducing conditions in which Indigenous people are made intelligible through a lens of ""damaged"" bodies. Faced with these two concerns, many turn away from epigenetics altogether, refusing its novelty and supposed benefit for Indigenous health equity and resisting the pull of postgenomics.",History and philosophy of the life sciences,"['environmental', 'epigenetic', 'increasingly', 'employ', 'understand', 'health', 'outcome', 'community', 'experience', 'historical', 'trauma', 'structural', 'violence', 'epigenetic', 'provide', 'way', 'think', 'traumatic', 'event', 'sustain', 'deprivation', 'biological', 'exposure', 'contribute', 'ill', 'health', 'across', 'generation', 'australia', 'indigenous', 'researcher', 'clinician', 'embrace', 'epigenetic', 'science', 'framework', 'theorise', 'slow', 'violence', 'colonialism', 'play', 'intergenerational', 'legacy', 'trauma', 'illness', 'however', 'dispute', 'contention', 'caution', 'well', 'enthusiasm', 'among', 'research', 'community', 'article', 'trace', 'strategy', 'refusal', 'simpson', '2014', 'response', 'epigenetic', 'indigenous', 'contexts', 'draw', 'ethnographic', 'fieldwork', 'conduct', 'australia', 'researcher', 'clinician', 'indigenous', 'health', 'explore', 'construct', 'epigenetic', 'useless', 'knowledge', 'distraction', 'implement', 'anti', 'colonial', 'change', 'rather', 'tool', 'enact', 'change', 'secondly', 'explore', 'epigenetic', 'narrow', 'definition', 'colonial', 'harm', 'optic', 'molecular', 'trauma', 'reproduce', 'condition', 'indigenous', 'people', 'make', 'intelligible', 'lens', 'damage', 'body', 'face', 'two', 'concern', 'many', 'turn', 'away', 'epigenetic', 'altogether', 'refuse', 'novelty', 'suppose', 'benefit', 'indigenous', 'health', 'equity', 'resist', 'pull', 'postgenomic']"
"Stress, cortisol and suicide risk.","Suicide is a global health issue accounting for at least 800,000 deaths per annum. Numerous models have been proposed that differ in their emphasis on the role of psychological, social, psychiatric and neurobiological factors in explaining suicide risk. Central to many models is a stress-diathesis component which states that suicidal behavior is the result of an interaction between acutely stressful events and a susceptibility to suicidal behavior (a diathesis). This article presents an overview of studies that demonstrate that stress and dysregulated hypothalamic-pituitary-adrenal (HPA) axis activity, as measured by cortisol levels, are important additional risk factors for suicide. Evidence for other putative stress-related suicide risk factors including childhood trauma, impaired executive function, impulsivity and disrupted sleep are considered together with the impact of family history of suicide, perinatal and epigenetic influences on suicide risk.",International review of neurobiology,"['suicide', 'global', 'health', 'issue', 'account', 'least', '800', '000', 'death', 'per', 'annum', 'numerous', 'model', 'propose', 'differ', 'emphasis', 'role', 'psychological', 'social', 'psychiatric', 'neurobiological', 'factor', 'explain', 'suicide', 'risk', 'central', 'many', 'model', 'stress', 'diathesis', 'component', 'state', 'suicidal', 'behavior', 'result', 'interaction', 'acutely', 'stressful', 'event', 'susceptibility', 'suicidal', 'behavior', 'diathesis', 'article', 'present', 'overview', 'study', 'demonstrate', 'stress', 'dysregulate', 'hypothalamic', 'pituitary', 'adrenal', 'hpa', 'axis', 'activity', 'measure', 'cortisol', 'level', 'important', 'additional', 'risk', 'factor', 'suicide', 'evidence', 'putative', 'stress', 'relate', 'suicide', 'risk', 'factor', 'include', 'childhood', 'trauma', 'impaired', 'executive', 'function', 'impulsivity', 'disrupt', 'sleep', 'consider', 'together', 'impact', 'family', 'history', 'suicide', 'perinatal', 'epigenetic', 'influence', 'suicide', 'risk']"
Peripheral nerve injury and myelination: Potential therapeutic strategies.,"Traumatic peripheral nerve injury represents a major clinical and public health problem that often leads to significant functional impairment and permanent disability. Despite modern diagnostic procedures and advanced microsurgical techniques, functional recovery after peripheral nerve repair is often unsatisfactory. Therefore, there is an unmet need for new therapeutic or adjunctive strategies to promote the functional recovery in nerve injury patients. In contrast to the central nervous system, Schwann cells in the peripheral nervous system play a pivotal role in several aspects of nerve repair such as degeneration, remyelination, and axonal growth. Several non-surgical approaches, including pharmacological, electrical, cell-based, and laser therapies, have been employed to promote myelination and enhance functional recovery after peripheral nerve injury. This review will succinctly discuss the potential therapeutic strategies in the context of myelination following peripheral neurotrauma.",Journal of neuroscience research,"['traumatic', 'peripheral', 'nerve', 'injury', 'represent', 'major', 'clinical', 'public', 'health', 'problem', 'often', 'lead', 'significant', 'functional', 'impairment', 'permanent', 'disability', 'despite', 'modern', 'diagnostic', 'procedure', 'advance', 'microsurgical', 'technique', 'functional', 'recovery', 'peripheral', 'nerve', 'repair', 'often', 'unsatisfactory', 'therefore', 'unmet', 'need', 'new', 'therapeutic', 'adjunctive', 'strategy', 'promote', 'functional', 'recovery', 'nerve', 'injury', 'patient', 'contrast', 'central', 'nervous', 'system', 'schwann', 'cell', 'peripheral', 'nervous', 'system', 'play', 'pivotal', 'role', 'several', 'aspect', 'nerve', 'repair', 'degeneration', 'remyelination', 'axonal', 'growth', 'several', 'non', 'surgical', 'approach', 'include', 'pharmacological', 'electrical', 'cell', 'base', 'laser', 'therapy', 'employ', 'promote', 'myelination', 'enhance', 'functional', 'recovery', 'peripheral', 'nerve', 'injury', 'review', 'succinctly', 'discuss', 'potential', 'therapeutic', 'strategy', 'context', 'myelination', 'follow', 'peripheral', 'neurotrauma']"
A review of the genetics and epigenetics of central precocious puberty.,"Gonadotrophin dependent sexual precocity, commonly referred to as central precocious puberty (CPP), results from a premature reactivation of the hypothalamic-pituitary-gonadal (HPG) axis before the normal age of pubertal onset. CPP is historically described as girls who enter puberty before the age of eight, and boys before the age of nine. Females are more likely to be diagnosed with idiopathic CPP; males diagnosed with CPP have a greater likelihood of a defined etiology. These etiologies may include underlying CNS congenital defects, tumors, trauma, or infections as well as environmental, genetic, and epigenetic factors. Recently, genetic variants and mutations which may cause CPP have been identified at both the level of the hypothalamus and the pituitary. Single nucleotide polymorphisms (SNPs), monogenetic mutations, and modifications of the epigenome have been evaluated in relationship to the onset of puberty; these variants are thought to affect the development, structure and function of GnRH neurons which may lead to either precocious, delayed, or absent pubertal reactivation. This review will describe recent advances in the field of the genetic basis of puberty and provide a clinically relevant approach to better understand these varying etiologies of CPP.",Frontiers in endocrinology,"['gonadotrophin', 'dependent', 'sexual', 'precocity', 'commonly', 'refer', 'central', 'precocious', 'puberty', 'cpp', 'result', 'premature', 'reactivation', 'hypothalamic', 'pituitary', 'gonadal', 'hpg', 'axis', 'normal', 'age', 'pubertal', 'onset', 'cpp', 'historically', 'describe', 'girl', 'enter', 'puberty', 'age', 'eight', 'boy', 'age', 'nine', 'female', 'likely', 'diagnose', 'idiopathic', 'cpp', 'male', 'diagnose', 'cpp', 'great', 'likelihood', 'define', 'etiology', 'etiology', 'may', 'include', 'underlie', 'cns', 'congenital', 'defect', 'tumor', 'trauma', 'infection', 'well', 'environmental', 'genetic', 'epigenetic', 'factor', 'recently', 'genetic', 'variant', 'mutation', 'may', 'cause', 'cpp', 'identify', 'level', 'hypothalamus', 'pituitary', 'single', 'nucleotide', 'polymorphism', 'snps', 'monogenetic', 'mutation', 'modification', 'epigenome', 'evaluate', 'relationship', 'onset', 'puberty', 'variant', 'think', 'affect', 'development', 'structure', 'function', 'gnrh', 'neuron', 'may', 'lead', 'either', 'precocious', 'delay', 'absent', 'pubertal', 'reactivation', 'review', 'describe', 'recent', 'advance', 'field', 'genetic', 'basis', 'puberty', 'provide', 'clinically', 'relevant', 'approach', 'well', 'understand', 'vary', 'etiology', 'cpp']"
Intrinsic mechanisms of neuronal axon regeneration.,"Permanent disabilities following CNS injuries result from the failure of injured axons to regenerate and rebuild functional connections with their original targets. By contrast, injury to peripheral nerves is followed by robust regeneration, which can lead to recovery of sensory and motor functions. This regenerative response requires the induction of widespread transcriptional and epigenetic changes in injured neurons. Considerable progress has been made in recent years in understanding how peripheral axon injury elicits these widespread changes through the coordinated actions of transcription factors, epigenetic modifiers and, to a lesser extent, microRNAs. Although many questions remain about the interplay between these mechanisms, these new findings provide important insights into the pivotal role of coordinated gene expression and chromatin remodelling in the neuronal response to injury.",Nature reviews. Neuroscience,"['permanent', 'disability', 'follow', 'cns', 'injury', 'result', 'failure', 'injure', 'axon', 'regenerate', 'rebuild', 'functional', 'connection', 'original', 'target', 'contrast', 'injury', 'peripheral', 'nerve', 'follow', 'robust', 'regeneration', 'lead', 'recovery', 'sensory', 'motor', 'function', 'regenerative', 'response', 'require', 'induction', 'widespread', 'transcriptional', 'epigenetic', 'change', 'injure', 'neuron', 'considerable', 'progress', 'make', 'recent', 'year', 'understand', 'peripheral', 'axon', 'injury', 'elicit', 'widespread', 'change', 'coordinate', 'action', 'transcription', 'factor', 'epigenetic', 'modifier', 'less', 'extent', 'microrna', 'although', 'many', 'question', 'remain', 'interplay', 'mechanism', 'new', 'finding', 'provide', 'important', 'insight', 'pivotal', 'role', 'coordinate', 'gene', 'expression', 'chromatin', 'remodelle', 'neuronal', 'response', 'injury']"
The epigenetics of early life adversity and trauma inheritance: an interview with Moshe Szyf.,"In this interview, Professor Moshe Szyf speaks with Storm Johnson, Commissioning Editor for <i>Epigenomics</i>, on his work to date in the field of social epigenetics. Szyf received his PhD from the Hebrew University and did his postdoctoral fellowship in genetics at Harvard Medical School, joined the Department of Pharmacology and Therapeutics at McGill University in Montreal in 1989 and is a fellow of the Royal Society of Canada and the Academy of Health Sciences of Canada. He is the founding codirector of the Sackler Institute for Epigenetics and Psychobiology at McGill and is a Fellow of the Canadian Institute for Advanced Research Experience-Based Brain and Biological Development program. Szyf was the founder of the first pharma to develop epigenetic pharmacology, Methylgene Inc., and the journal <i>Epigenetics</i>. The Szyf lab proposed two decades ago that DNA methylation is a prime therapeutic target in cancer and other diseases and postulated and provided the first set of evidence that the social environment early in life can alter DNA methylation, launching the emerging field of social epigenetics.",Epigenomics,"['interview', 'professor', 'moshe', 'szyf', 'speak', 'storm', 'johnson', 'commission', 'editor', 'epigenomic', 'work', 'date', 'field', 'social', 'epigenetic', 'szyf', 'receive', 'phd', 'hebrew', 'university', 'postdoctoral', 'fellowship', 'genetics', 'harvard', 'medical', 'school', 'join', 'department', 'pharmacology', 'therapeutics', 'mcgill', 'university', 'montreal', '1989', 'fellow', 'royal', 'society', 'canada', 'academy', 'health', 'sciences', 'canada', 'found', 'codirector', 'sackler', 'institute', 'epigenetic', 'psychobiology', 'mcgill', 'fellow', 'canadian', 'institute', 'advanced', 'research', 'experience', 'base', 'brain', 'biological', 'development', 'program', 'szyf', 'founder', 'first', 'pharma', 'develop', 'epigenetic', 'pharmacology', 'methylgene', 'inc', 'journal', 'epigenetics', 'szyf', 'lab', 'propose', 'two', 'decade', 'ago', 'dna', 'methylation', 'prime', 'therapeutic', 'target', 'cancer', 'disease', 'postulate', 'provide', 'first', 'set', 'evidence', 'social', 'environment', 'early', 'life', 'alter', 'dna', 'methylation', 'launch', 'emerge', 'field', 'social', 'epigenetic']"
